"UF";"Município";"Cargo";"Candidato";"Nr";"Partido";"Situação";"QtVN";"%VV";
"SP";"BILAC";"Prefeito";"JOSE ROBERTO REBELATO";"45";"PSDB";"Eleito";"2.422";"49,97"
"SP";"BIRIGUI";"Prefeito";"WILSON CARLOS RODRIGUES BORINI";"15";"PMDB";"Eleito";"35.165";"59,76"
"SP";"BIRITIBA MIRIM";"Prefeito";"CARLOS ALBERTO TAINO JUNIOR";"45";"PSDB";"Eleito";"3.872";"24,18"
"SP";"BOA ESPERANÇA DO SUL";"Prefeito";"JAIME FORTINO BENASSI";"15";"PMDB";"Eleito";"4.915";"61,72"
"SP";"BOCAINA";"Prefeito";"JOÃO FRANCISCO BERTONCELLO DANIELETTO";"43";"PV";"Eleito";"3.358";"51,86"
"SP";"BOFETE";"Prefeito";"CLAUDECIO JOSE EBURNEO";"13";"PT";"Eleito";"3.461";"58,14"
"SP";"BOITUVA";"Prefeito";"ASSUNTA MARIA LABRONICI GOMES";"25";"DEM";"Eleito";"13.456";"54,37"
"SP";"BOM JESUS DOS PERDÕES";"Prefeito";"CARLOS RIGINIK JUNIOR";"45";"PSDB";"Eleito";"4.756";"45,15"
"SP";"BOM SUCESSO DE ITARARÉ";"Prefeito";"DIRCEU PACHECO DE OLIVEIRA";"45";"PSDB";"Eleito";"1.370";"56,75"
"SP";"BORÁ";"Prefeito";"LUIZ CARLOS RODRIGUES";"13";"PT";"Eleito";"478";"57,59"
"SP";"BORACÉIA";"Prefeito";"OSVALDO GIANTI";"11";"PP";"Eleito";"1.939";"71,18"
"SP";"BORBOREMA";"Prefeito";"JORGE FERES JUNIOR";"13";"PT";"Eleito";"7.027";"78,77"
"SP";"BOREBI";"Prefeito";"ANTONIO CARLOS VACA";"45";"PSDB";"Eleito";"848";"57,49"
"SP";"BOTUCATU";"Prefeito";"JOÃO CURY NETO";"45";"PSDB";"Eleito";"34.551";"53,58"
"SP";"BRAGANÇA PAULISTA";"Prefeito";"JOÃO AFONSO SOLIS";"45";"PSDB";"Eleito";"30.640";"38,24"
"SP";"BRAÚNA";"Prefeito";"HEITOR VERDU";"43";"PV";"Eleito";"2.162";"69,70"
"SP";"BREJO ALEGRE";"Prefeito";"PEDRO DE PAULA CASTILHO";"43";"PV";"Eleito";"976";"55,20"
"SP";"BRODOWSKI";"Prefeito";"ALFREDO AMADOR TONELLO";"14";"PTB";"Eleito";"6.334";"52,29"
"SP";"BROTAS";"Prefeito";"ANTONIO BENEDITO SALLA";"12";"PDT";"Eleito";"6.379";"53,11"
"SP";"BURI";"Prefeito";"CLAUDIO ROMUALDO Ú FONSECA";"12";"PDT";"Eleito";"4.297";"38,26"
"SP";"BURITAMA";"Prefeito";"IZAIR DOS SANTOS TEIXEIRA";"23";"PPS";"Eleito";"5.075";"55,79"
"SP";"BURITIZAL";"Prefeito";"AGLIBERTO GONÇALVES";"45";"PSDB";"Eleito";"1.580";"61,03"
"SP";"CABRÁLIA PAULISTA";"Prefeito";"JACINTHO ZANONI FILHO";"40";"PSB";"Eleito";"2.309";"79,59"
"SP";"CABREÚVA";"Prefeito";"CLÁUDIO ANTÔNIO GIANNINI";"15";"PMDB";"Eleito";"8.929";"42,88"
"SP";"CAÇAPAVA";"Prefeito";"CARLOS ANTONIO VILELA";"25";"DEM";"Eleito";"28.855";"85,41"
"SP";"CACHOEIRA PAULISTA";"Prefeito";"FABIANO ANTONIO CHALITA VIEIRA";"45";"PSDB";"Eleito";"9.691";"53,02"
"SP";"CACONDE";"Prefeito";"ANTONIO CARLOS DE FARIA";"45";"PSDB";"Eleito";"5.481";"52,66"
"SP";"CAFELÂNDIA";"Prefeito";"ORIVALDO GAZOTO";"13";"PT";"Eleito";"4.840";"48,31"
"SP";"CAIABU";"Prefeito";"JOÃO ANTONIO ALVES";"14";"PTB";"Eleito";"1.748";"58,88"
"SP";"CAIEIRAS";"Prefeito";"ROBERTO HAMAMOTO";"25";"DEM";"Eleito";"20.992";"47,38"
"SP";"CAIUÁ";"Prefeito";"CICERO PAULINO SOBRINHO";"45";"PSDB";"Eleito";"1.171";"37,52"
"SP";"CAJAMAR";"Prefeito";"DANIEL FERREIRA DA FONSECA";"45";"PSDB";"Eleito";"14.778";"65,84"
"SP";"CAJATI";"Prefeito";"LUIZ HENRIQUE KOGA";"45";"PSDB";"Eleito";"8.335";"49,66"
"SP";"CAJOBI";"Prefeito";"DORIVAL SANDRINI";"14";"PTB";"Eleito";"3.294";"50,31"
